Last updated 09 February,,,,,,,,,,,,,,,,,,,,,
,Team Capability,,,,,,,,Location,,,,,,,,,,,,
Supplier,Performance Analysis and Data ,Security,Service delivery,Software Development,Support and Operations,Testing and Auditing,User Experience and Design,User research,"No specific region, they can work remotely",Scotland,North East England,North West England,Yorkshire and the Humber,East Midlands,West Midlands,East of England,Wales,London,South East England,South West England,Northern Ireland
SFW Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Software Box Limited (SBL),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Stratia Consulting Ltd,no,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SunGard Availability Services (UK) Ltd,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Public Consulting Group,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no
SystemsUp Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Tessella Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Ten10 Solutions Limited,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
TIBUS LTD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
TLMNEXUS Ltd,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no
Triad Consulting & Solutions,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
TSO - The Stationery Office,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
